id,organizations_id,entry_number,types_id,versions_id,audit_types_id,year,valid_until_date,valid_until_year,score
1,14654,1,5,1,1,,,,
2,14654,2,3,4,1,2016.0,2018-03-31,2018.0,520.0
3,14655,1,5,1,1,2019.0,2021-05-31,2021.0,443.0
4,14655,2,3,4,1,,,,
5,14655,3,3,4,1,,,,
6,14656,1,5,1,2,2021.0,2023-09-30,2023.0,311.0
7,14656,2,5,2,1,2019.0,2021-02-28,2021.0,407.0
8,14656,3,3,4,1,2015.0,2017-05-31,2017.0,466.0
9,14656,4,2,4,3,2013.0,2015-12-31,2015.0,535.0
10,14657,1,5,1,1,,,,
11,14657,2,3,4,1,2015.0,2017-05-31,2017.0,496.0
12,14658,1,5,1,1,2019.0,2021-02-28,2021.0,245.0
13,14659,1,5,1,1,2019.0,2021-03-21,2021.0,278.0
14,14660,1,3,4,2,2019.0,2021-01-31,2021.0,627.0
15,14660,2,3,4,1,2015.0,2017-05-31,2017.0,594.0
16,14661,1,5,2,2,,,,342.0
17,14662,1,5,2,2,,,,
18,14662,2,5,1,2,2019.0,2021-04-30,2021.0,690.0
19,14663,1,5,2,2,2019.0,2021-06-30,2021.0,249.0
20,14665,1,5,1,2,2019.0,2021-05-31,2021.0,444.0
21,14665,2,3,4,3,2016.0,2018-12-30,2018.0,627.0
22,14666,1,5,2,2,2019.0,2021-05-31,2021.0,453.0
23,14667,1,5,2,1,2021.0,2023-03-31,2023.0,520.0
24,14668,1,5,2,2,2018.0,2020-12-31,2020.0,517.0
25,14669,1,5,1,1,2022.0,2024-03-31,2024.0,630.0
26,14669,2,5,1,1,2018.0,2020-10-31,2020.0,567.0
27,14670,1,5,1,2,2019.0,2021-04-30,2021.0,722.0
28,14670,2,2,4,1,2013.0,2015-12-31,2015.0,479.0
29,14671,1,3,4,2,2019.0,2021-05-31,2021.0,590.0
30,14671,2,3,4,3,2015.0,2017-04-30,2017.0,607.0
31,14672,1,3,4,2,2019.0,2021-03-31,2021.0,
32,14673,1,5,2,1,2019.0,2021-04-30,2021.0,260.0
33,14674,1,5,2,1,2019.0,2021-05-31,2021.0,515.0
34,14674,2,3,4,1,,,,
35,14676,1,5,2,1,2022.0,2024-02-29,2024.0,718.0
36,14676,2,3,4,2,2019.0,2021-01-31,2021.0,709.0
37,14676,3,3,4,1,2016.0,2018-01-31,2018.0,613.0
38,14676,4,2,4,1,2012.0,2014-03-31,2014.0,520.0
39,14677,1,5,1,1,2019.0,2021-01-31,2021.0,209.0
40,14678,1,5,2,2,2022.0,2024-09-30,2024.0,578.0
41,14678,2,5,2,2,2019.0,2021-07-31,2021.0,499.0
42,14678,3,3,4,2,2013.0,2015-06-30,2015.0,541.0
43,14679,1,5,2,1,2021.0,2023-02-28,2023.0,441.0
44,14679,2,5,2,2,2019.0,2021-01-31,2021.0,502.0
45,14680,1,5,1,2,2019.0,2021-01-31,2021.0,421.0
46,14681,1,5,2,1,2022.0,2024-11-30,2024.0,496.0
47,14681,2,5,2,1,2018.0,2020-11-30,2020.0,437.0
48,14682,1,5,1,1,2018.0,2020-08-31,2020.0,355.0
49,14683,1,5,2,1,2021.0,2023-03-31,2023.0,516.0
50,14683,2,5,1,2,2019.0,2021-03-31,2021.0,434.0
51,14684,1,5,1,1,2021.0,2023-05-31,2023.0,384.0
52,14686,1,5,2,1,2022.0,2024-11-30,2024.0,549.0
53,14686,2,5,2,1,2020.0,2022-12-31,2022.0,443.0
54,14686,3,5,2,2,2018.0,2020-11-30,2020.0,441.0
55,14687,1,5,2,2,2022.0,2024-06-30,2024.0,560.0
56,14687,2,3,4,2,2019.0,2021-04-30,2021.0,602.0
57,14687,3,3,4,1,2015.0,2017-11-30,2017.0,559.0
58,14687,4,2,4,1,2013.0,2015-11-30,2015.0,385.0
59,14687,5,1,4,1,2011.0,2013-12-30,2013.0,332.0
60,14688,1,5,1,2,2019.0,2021-01-31,2021.0,300.0
61,14689,1,5,1,1,2018.0,2020-08-31,2020.0,285.0
62,14690,1,5,1,2,2023.0,2025-06-30,2025.0,375.0
63,14690,2,5,1,2,2019.0,2021-06-30,2021.0,329.0
64,14690,3,3,4,3,2016.0,2018-09-30,2018.0,427.0
65,14691,1,5,1,1,2019.0,2021-05-31,2021.0,443.0
66,14691,2,3,4,1,,,,
67,14693,1,5,1,1,2021.0,2023-08-31,2023.0,457.0
68,14693,2,5,2,2,2018.0,2020-10-31,2020.0,325.0
69,14694,1,5,2,2,2019.0,2021-07-31,2021.0,626.0
70,14694,2,3,4,3,2013.0,2015-06-30,2015.0,555.0
71,14695,1,5,1,2,2019.0,2021-01-31,2021.0,298.0
72,14696,1,5,1,1,2019.0,2021-06-30,2021.0,230.0
73,14697,1,5,2,3,,,,
74,14697,2,5,1,1,2019.0,2021-07-31,2021.0,461.0
75,14700,1,5,1,2,2019.0,2021-09-30,2021.0,365.0
76,14701,1,5,2,2,2023.0,2025-12-31,2025.0,451.0
77,14701,2,5,2,1,2022.0,2024-03-31,2024.0,426.0
78,14701,3,5,2,2,2019.0,2021-09-30,2021.0,391.0
79,14704,1,5,1,3,2019.0,2021-05-20,2021.0,
80,14705,1,5,2,1,2021.0,2023-07-31,2023.0,456.0
81,14705,2,5,1,3,2019.0,2021-05-20,2021.0,332.0
82,14706,1,5,1,3,2020.0,2022-11-13,2022.0,507.0
83,14706,2,5,1,3,2019.0,2021-05-20,2021.0,493.0
84,14707,1,5,2,1,2019.0,2021-08-31,2021.0,608.0
85,14707,2,3,4,1,2016.0,2018-09-30,2018.0,575.0
86,14708,1,5,2,2,2023.0,2025-07-31,2025.0,746.0
87,14708,2,5,2,2,2021.0,2023-07-31,2023.0,743.0
88,14708,3,5,2,2,2019.0,2021-07-31,2021.0,725.0
89,14708,4,3,4,1,2017.0,2019-07-31,2019.0,671.0
90,14708,5,3,4,1,2015.0,2017-07-31,2017.0,635.0
91,14708,6,2,4,1,2013.0,2015-06-30,2015.0,595.0
92,14708,7,3,4,1,2012.0,2014-06-30,2014.0,593.0
93,14708,8,1,4,1,2011.0,2013-10-31,2013.0,630.0
94,14709,1,5,1,2,2023.0,2025-09-30,2025.0,605.0
95,14709,2,5,1,2,2019.0,2021-06-30,2021.0,503.0
96,14710,1,5,1,1,2019.0,2021-05-31,2021.0,333.0
97,14711,1,5,2,2,2023.0,2025-04-30,2025.0,572.0
98,14711,2,5,2,2,2021.0,2023-05-31,2023.0,534.0
99,14711,3,5,2,2,2019.0,2021-04-30,2021.0,483.0
100,14711,4,3,4,1,2017.0,2019-04-30,2019.0,462.0
101,14711,5,3,4,1,2015.0,2017-04-30,2017.0,419.0
102,14711,6,2,4,1,2013.0,2015-04-30,2015.0,329.0
103,14711,7,2,4,1,2012.0,2014-04-30,2014.0,329.0
104,14712,1,5,2,1,2019.0,2021-04-30,2021.0,316.0
105,14713,1,5,1,3,2023.0,2025-11-30,2025.0,610.0
106,14713,2,5,1,1,2019.0,2021-05-30,2021.0,354.0
107,14714,1,5,2,2,2023.0,2025-07-31,2025.0,286.0
108,14714,2,5,2,3,2020.0,2022-07-31,2022.0,319.0
109,14715,1,5,2,3,2020.0,2022-07-31,2022.0,129.0
110,14716,1,5,2,3,2020.0,2022-07-31,2022.0,316.0
111,14718,1,5,1,3,2019.0,2021-04-30,2021.0,432.0
112,14719,1,5,1,3,,,,
113,14719,2,3,4,1,2016.0,2018-06-30,2018.0,668.0
114,14720,1,5,1,3,,,,
115,14721,1,5,1,3,2019.0,2021-04-30,2021.0,382.0
116,14722,1,5,1,3,2019.0,2021-04-30,2021.0,474.0
117,14723,1,5,2,2,2022.0,2024-07-31,2024.0,542.0
118,14723,2,5,1,3,2019.0,2021-03-31,2021.0,595.0
119,14725,1,5,1,3,2019.0,2021-03-31,2021.0,458.0
120,14726,1,5,1,3,2019.0,2021-05-31,2021.0,303.0
121,14727,1,5,1,3,2019.0,2021-05-20,2021.0,386.0
122,14728,1,5,1,3,,,,
123,14728,2,5,1,1,2020.0,2022-09-30,2022.0,478.0
124,14728,3,5,1,3,2019.0,2021-05-31,2021.0,535.0
125,14728,4,3,4,1,,,,
126,14728,5,2,4,1,,,,
127,14728,6,1,4,1,,,,
128,14730,1,5,2,3,2020.0,2022-07-31,2022.0,349.0
129,14731,1,5,2,3,2020.0,2022-07-31,2022.0,250.0
130,14732,1,5,2,3,2020.0,2022-07-31,2022.0,243.0
131,14733,1,5,2,2,2021.0,2023-07-31,2023.0,406.0
132,14733,2,5,2,3,2020.0,2022-07-31,2022.0,282.0
133,14734,1,5,1,2,2019.0,2021-10-31,2021.0,495.0
134,14734,2,3,4,1,2014.0,2016-10-31,2016.0,359.0
135,14734,3,2,4,1,2013.0,2015-06-28,2015.0,337.0
136,14735,1,5,1,3,2019.0,2021-05-31,2021.0,180.0
137,14736,1,5,1,3,2019.0,2021-05-31,2021.0,297.0
138,14737,1,5,2,3,2020.0,2022-09-30,2022.0,278.0
139,14738,1,5,2,3,2020.0,2022-09-30,2022.0,246.0
140,14739,1,5,1,3,2019.0,2021-06-30,2021.0,443.0
141,14740,1,5,1,3,2019.0,2021-06-30,2021.0,151.0
142,14741,1,5,1,3,,,,
143,14742,1,5,1,3,,,,
144,14743,1,5,1,3,,,,
145,14744,1,5,2,2,2022.0,2024-05-31,2024.0,484.0
146,14744,2,5,2,2,2020.0,2022-03-31,2022.0,455.0
147,14744,3,3,4,1,2016.0,2018-11-30,2018.0,394.0
148,14744,4,2,4,1,2014.0,2016-10-31,2016.0,340.0
149,14745,1,5,1,3,2019.0,2021-06-30,2021.0,574.0
150,14746,1,5,1,1,2020.0,2022-09-30,2022.0,386.0
151,14747,1,5,1,1,2019.0,2021-10-31,2021.0,473.0
152,14748,1,5,2,2,2019.0,2021-11-30,2021.0,373.0
153,14749,1,5,1,1,2022.0,2024-03-31,2024.0,597.0
154,14749,2,5,1,3,2019.0,2021-07-31,2021.0,530.0
155,14750,1,5,1,3,2019.0,2021-07-31,2021.0,570.0
156,14751,1,5,1,3,2019.0,2021-12-31,2021.0,697.0
157,14752,1,5,1,3,2019.0,2021-06-30,2021.0,673.0
158,14753,1,5,1,3,2019.0,2021-06-30,2021.0,521.0
159,14755,1,5,1,1,2018.0,2020-09-30,2020.0,640.0
160,14755,2,3,4,1,,,,
161,14756,1,5,1,2,2020.0,2022-02-28,2022.0,289.0
162,14756,2,3,4,3,2016.0,2018-09-06,2018.0,348.0
163,14757,1,3,4,2,,,,
164,14757,2,3,4,3,2015.0,2017-12-31,2017.0,601.0
165,14758,1,5,1,2,2019.0,2021-11-30,2021.0,444.0
166,14759,1,5,1,3,2019.0,2021-12-31,2021.0,400.0
167,14760,1,5,1,3,2019.0,2021-12-31,2021.0,436.0
168,14761,1,5,1,3,2019.0,2021-12-31,2021.0,544.0
169,14762,1,5,1,3,,,,
170,14763,1,5,1,3,2019.0,2021-12-31,2021.0,571.0
171,14764,1,5,1,3,2019.0,2021-07-31,2021.0,463.0
172,14765,1,5,1,2,2019.0,2021-10-31,2021.0,442.0
173,14766,1,5,2,1,2022.0,2024-04-30,2024.0,639.0
174,14766,2,5,2,2,2019.0,2021-11-30,2021.0,635.0
175,14766,3,3,4,3,2017.0,2019-02-28,2019.0,630.0
176,14767,1,5,2,3,2019.0,2021-02-28,2021.0,503.0
177,14768,1,5,2,3,2019.0,2021-02-28,2021.0,398.0
178,14769,1,5,2,3,2019.0,2021-02-28,2021.0,518.0
179,14771,1,5,2,1,2019.0,2021-11-30,2021.0,408.0
180,14772,1,5,1,1,2019.0,2021-12-31,2021.0,290.0
181,14772,2,3,4,3,,,,
182,14773,1,5,2,1,2022.0,2024-08-31,2024.0,569.0
183,14773,2,5,2,2,2019.0,2021-10-31,2021.0,529.0
184,14773,3,3,4,3,2017.0,2019-04-30,2019.0,427.0
185,14775,1,5,2,3,2018.0,2020-12-31,2020.0,642.0
186,14776,1,5,1,3,2018.0,2020-12-31,2020.0,644.0
187,14777,1,5,1,3,2018.0,2020-12-31,2020.0,716.0
188,14777,2,3,4,3,2017.0,2019-05-30,2019.0,777.0
189,14778,1,5,1,3,2020.0,2022-02-28,2022.0,631.0
190,14779,1,5,2,2,2024.0,2026-02-28,2026.0,446.0
191,14779,2,5,2,2,2020.0,2022-01-31,2022.0,356.0
192,14779,3,3,4,1,2016.0,2018-11-30,2018.0,272.0
193,14782,1,5,1,3,2019.0,2021-12-31,2021.0,583.0
194,14783,1,5,1,3,2019.0,2021-12-31,2021.0,508.0
195,14784,1,5,1,3,2019.0,2021-12-31,2021.0,658.0
196,14788,1,5,2,2,2021.0,2023-12-31,2023.0,371.0
197,14788,2,5,2,2,2020.0,2022-01-31,2022.0,318.0
198,14790,1,5,2,2,2020.0,2022-02-28,2022.0,230.0
199,14792,1,5,1,2,2019.0,2021-11-30,2021.0,349.0
200,14793,1,5,1,2,,,,
201,14794,1,5,1,2,2020.0,2022-04-30,2022.0,411.0
202,14794,2,3,4,3,2016.0,2018-09-06,2018.0,505.0
203,14795,1,5,2,2,2020.0,2022-04-30,2022.0,660.0
204,14795,2,3,4,1,,,,
205,14796,1,5,2,2,2023.0,2025-12-31,2025.0,554.0
206,14796,2,5,1,1,2021.0,2023-12-31,2023.0,493.0
207,14796,3,5,1,2,2019.0,2021-12-31,2021.0,310.0
208,14797,1,5,1,3,2019.0,2021-11-30,2021.0,609.0
209,14798,1,5,1,1,2019.0,2021-12-31,2021.0,473.0
210,14799,1,5,1,3,,,,
211,14801,1,5,1,3,2019.0,2021-10-31,2021.0,477.0
212,14802,1,5,1,3,2019.0,2021-10-31,2021.0,775.0
213,14803,1,5,1,3,2019.0,2021-10-31,2021.0,540.0
214,14804,1,5,1,3,2019.0,2021-10-31,2021.0,498.0
215,14805,1,5,2,1,2022.0,2024-05-31,2024.0,453.0
216,14805,2,5,2,2,2019.0,2021-12-31,2021.0,450.0
217,14806,1,5,1,2,2019.0,2021-12-31,2021.0,508.0
218,14807,1,5,1,3,2019.0,2021-11-30,2021.0,487.0
219,14808,1,5,1,3,2019.0,2021-11-30,2021.0,444.0
220,14809,1,5,2,1,2023.0,2025-01-31,2025.0,479.0
221,14809,2,5,2,2,2020.0,2022-01-31,2022.0,454.0
222,14810,1,5,1,3,2019.0,2021-11-30,2021.0,395.0
223,14811,1,5,1,2,2017.0,2019-12-31,2019.0,153.0
224,14812,1,5,2,2,,,,
225,14812,2,5,2,1,2022.0,2024-01-31,2024.0,560.0
226,14812,3,5,2,2,2020.0,2022-04-30,2022.0,554.0
227,14813,1,5,1,2,,,,
228,14814,1,5,1,3,,,,
229,14814,2,3,4,3,2016.0,2018-08-31,2018.0,653.0
230,14815,1,5,1,2,,,,
231,14816,1,5,1,3,2023.0,2025-06-30,2025.0,549.0
232,14816,2,5,1,1,2019.0,2021-12-31,2021.0,521.0
233,14816,3,3,4,1,2017.0,2019-10-31,2019.0,546.0
234,14817,1,5,1,1,2019.0,2021-12-31,2021.0,288.0
235,14818,1,5,1,3,2021.0,2023-05-31,2023.0,437.0
236,14818,2,5,1,2,2018.0,2020-07-31,2020.0,489.0
237,14818,3,3,4,1,2016.0,2018-01-31,2018.0,405.0
238,14819,1,5,1,3,2019.0,2021-03-30,2021.0,702.0
239,14820,1,5,1,3,2018.0,2020-10-30,2020.0,577.0
240,14821,1,5,1,3,2018.0,2020-07-31,2020.0,728.0
241,14822,1,5,1,3,2019.0,2021-03-30,2021.0,482.0
242,14824,1,5,2,1,2018.0,2020-09-30,2020.0,557.0
243,14824,2,3,4,1,2015.0,2017-02-28,2017.0,497.0
244,14825,1,5,1,3,2019.0,2021-03-30,2021.0,627.0
245,14826,1,5,1,3,2019.0,2021-03-30,2021.0,654.0
246,14828,1,5,1,3,,,,
247,14829,1,5,1,3,,,,
248,14830,1,5,1,3,2018.0,2020-10-30,2020.0,293.0
249,14831,1,5,1,3,2018.0,2020-10-30,2020.0,748.0
250,14832,1,5,1,3,2018.0,2020-10-30,2020.0,539.0
251,14833,1,5,1,3,,,,
252,14834,1,5,2,3,2019.0,2021-03-30,2021.0,393.0
253,14835,1,5,1,3,2018.0,2020-10-30,2020.0,258.0
254,14836,1,5,2,2,,,,
255,14836,2,5,1,3,,,,
256,14837,1,5,1,2,2022.0,2024-09-30,2024.0,375.0
257,14837,2,5,1,3,,,,
258,14838,1,5,1,3,2018.0,2020-04-30,2020.0,568.0
259,14839,1,5,1,3,2019.0,2021-03-30,2021.0,605.0
260,14840,1,5,1,3,2018.0,2020-10-30,2020.0,488.0
261,14841,1,5,1,3,2019.0,2021-03-30,2021.0,603.0
262,14843,1,5,1,3,2017.0,2019-07-31,2019.0,483.0
263,14844,1,5,1,3,2017.0,2019-07-31,2019.0,400.0
264,14845,1,5,1,3,,,,
265,14846,1,5,2,1,2017.0,2019-12-30,2019.0,408.0
266,14847,1,5,1,3,2017.0,2019-09-30,2019.0,836.0
267,14849,1,5,2,2,2023.0,2025-12-31,2025.0,583.0
268,14849,2,5,2,2,2021.0,2023-03-31,2023.0,555.0
269,14849,3,5,1,3,2018.0,2020-10-30,2020.0,639.0
270,14850,1,5,1,1,2018.0,2020-09-30,2020.0,470.0
271,14850,2,2,4,1,2014.0,2016-12-31,2016.0,369.0
272,14851,1,5,1,3,2021.0,2023-12-10,2023.0,377.0
273,14851,2,5,1,3,2018.0,2020-04-30,2020.0,549.0
274,14852,1,5,1,3,,,,
275,14853,1,5,1,1,2020.0,2022-09-30,2022.0,674.0
276,14853,2,5,2,1,2018.0,2020-04-30,2020.0,647.0
277,14853,3,3,4,1,2015.0,2017-06-30,2017.0,617.0
278,14853,4,2,4,1,2012.0,2014-12-30,2014.0,662.0
279,14854,1,5,1,3,,,,
280,14855,1,5,1,1,2018.0,2020-05-30,2020.0,406.0
281,14855,2,5,1,1,2018.0,2020-05-31,2020.0,406.0
282,14855,3,2,4,1,2011.0,2013-12-30,2013.0,427.0
283,14857,1,5,1,3,2021.0,2023-07-31,2023.0,440.0
284,14857,2,5,1,2,2018.0,2020-04-30,2020.0,459.0
285,14857,3,3,4,1,2016.0,2018-01-31,2018.0,449.0
286,14857,4,3,4,1,2012.0,2014-09-10,2014.0,289.0
287,14858,1,5,1,3,,,,
288,14859,1,5,1,3,2018.0,2020-04-30,2020.0,443.0
289,14859,2,3,4,3,2013.0,2015-12-31,2015.0,446.0
290,14860,1,5,1,3,,,,
291,14861,1,5,1,3,2018.0,2020-10-30,2020.0,458.0
292,14862,1,5,1,3,2018.0,2020-10-30,2020.0,426.0
293,14863,1,5,1,3,2021.0,2023-05-31,2023.0,409.0
294,14863,2,5,1,2,2018.0,2020-04-30,2020.0,418.0
295,14863,3,3,4,1,2016.0,2018-01-31,2018.0,403.0
296,14863,4,3,4,1,2012.0,2014-11-30,2014.0,267.0
297,14864,1,5,1,1,2018.0,2020-03-31,2020.0,506.0
298,14864,2,2,4,1,2013.0,2015-12-31,2015.0,614.0
299,14865,1,5,1,3,,,,
300,14866,1,5,1,1,2018.0,2020-05-31,2020.0,507.0
301,14867,1,5,1,3,2017.0,2019-07-31,2019.0,373.0
302,14868,1,5,1,3,2018.0,2020-10-30,2020.0,643.0
303,14869,1,5,1,2,2022.0,2024-03-31,2024.0,512.0
304,14869,2,5,1,3,,,,
305,14870,1,5,2,2,2022.0,2024-08-31,2024.0,504.0
306,14870,2,5,2,2,2018.0,2020-04-30,2020.0,430.0
307,14871,1,5,1,3,2018.0,2020-04-30,2020.0,531.0
308,14872,1,5,2,3,2018.0,2020-10-30,2020.0,208.0
309,14873,1,5,1,3,2018.0,2020-10-30,2020.0,473.0
310,14874,1,5,1,3,2018.0,2020-04-30,2020.0,437.0
311,14875,1,5,1,3,,,,
312,14876,1,3,4,1,2017.0,2019-10-31,2019.0,451.0
313,14876,2,3,4,1,2014.0,2016-10-31,2016.0,458.0
314,14877,1,5,1,3,2018.0,2020-10-31,2020.0,417.0
315,14878,1,5,2,2,2018.0,2020-05-30,2020.0,632.0
316,14879,1,5,1,3,,,,
317,14880,1,5,1,1,2018.0,2020-01-30,2020.0,500.0
318,14880,2,5,2,1,2016.0,2018-01-31,2018.0,500.0
319,14881,1,3,4,3,2017.0,2019-09-30,2019.0,598.0
320,14882,1,5,1,1,2020.0,2022-08-31,2022.0,537.0
321,14882,2,3,4,1,2015.0,2017-05-31,2017.0,386.0
322,14884,1,5,1,3,2018.0,2020-04-30,2020.0,482.0
323,14885,1,3,4,3,2018.0,2020-03-30,2020.0,690.0
324,14886,1,5,1,3,2019.0,2021-02-28,2021.0,
325,14887,1,3,4,1,2018.0,2020-11-30,2020.0,476.0
326,14887,2,3,4,3,2015.0,2017-05-31,2017.0,367.0
327,14888,1,5,1,3,2019.0,2021-03-31,2021.0,
328,14889,1,5,1,1,2018.0,2020-12-31,2020.0,304.0
329,14891,1,5,1,1,2021.0,2023-11-30,2023.0,191.0
330,14891,2,5,1,1,2021.0,2023-04-30,2023.0,151.0
331,14891,3,5,1,1,2016.0,2018-05-31,2018.0,141.0
332,14893,1,5,2,2,2021.0,2023-06-30,2023.0,616.0
333,14893,2,5,1,1,2018.0,2020-09-30,2020.0,517.0
334,14894,1,5,1,2,2018.0,2020-01-31,2020.0,495.0
335,14895,1,3,4,2,2015.0,2017-09-30,2017.0,496.0
336,14895,2,1,4,1,2010.0,2012-09-30,2012.0,
337,14895,3,2,4,1,2012.0,2014-04-30,2014.0,
338,14895,4,5,2,2,2022.0,2024-06-30,2024.0,583.0
339,14895,5,3,4,2,2018.0,2020-03-31,2020.0,
340,14896,1,3,4,2,2018.0,2020-10-31,2020.0,443.0
341,14896,2,3,4,3,2015.0,2017-05-31,2017.0,428.0
342,14897,1,5,1,1,2018.0,2020-10-31,2020.0,591.0
343,14898,1,3,4,1,2019.0,2021-02-28,2021.0,528.0
344,14898,2,3,4,3,2015.0,2017-12-31,2017.0,447.0
345,14899,1,5,1,3,2019.0,2021-02-28,2021.0,
346,14900,1,5,1,1,2022.0,2024-01-31,2024.0,410.0
347,14900,2,5,1,1,2018.0,2020-12-31,2020.0,406.0
348,14901,1,5,1,1,2021.0,2023-10-31,2023.0,463.0
349,14901,2,5,1,1,2018.0,2020-10-31,2020.0,441.0
350,14902,1,5,1,1,2018.0,2020-03-31,2020.0,300.0
351,14903,1,5,1,1,2021.0,2023-05-31,2023.0,391.0
352,14903,2,3,4,1,2018.0,2020-05-31,2020.0,649.0
353,14903,3,3,4,1,,,,
354,14903,4,2,4,1,,,,
355,14904,1,4,3,2,2018.0,2020-10-31,2020.0,588.0
356,14905,1,5,1,1,2018.0,2020-09-20,2020.0,603.0
357,14905,2,3,4,1,2015.0,2017-05-31,2017.0,448.0
358,14906,1,5,1,1,2018.0,2020-12-31,2020.0,424.0
359,14907,1,5,2,2,,,,
360,14907,2,5,2,2,2021.0,2023-08-31,2023.0,403.0
361,14907,3,5,1,1,2018.0,2020-12-31,2020.0,336.0
362,14908,1,5,1,1,2018.0,2020-12-31,2020.0,480.0
363,14909,1,5,1,1,2022.0,2024-01-31,2024.0,554.0
364,14909,2,5,1,1,2018.0,2020-10-31,2020.0,479.0
365,14910,1,5,1,1,2018.0,2020-12-31,2020.0,581.0
366,14910,2,3,4,3,2014.0,2016-09-15,2016.0,528.0
367,14911,1,5,1,1,2018.0,2020-09-30,2020.0,216.0
368,14912,1,5,1,1,2018.0,2020-12-31,2020.0,331.0
369,14913,1,5,1,1,2018.0,2020-10-31,2020.0,248.0
370,14914,1,3,4,1,2018.0,2020-04-30,2020.0,783.0
371,14916,1,5,1,3,2019.0,2021-02-28,2021.0,
372,14917,1,5,2,2,2018.0,2020-03-30,2020.0,631.0
373,14917,2,3,4,1,2015.0,2017-01-31,2017.0,502.0
374,14917,3,3,4,1,2013.0,2015-02-28,2015.0,480.0
375,14918,1,5,1,1,2018.0,2020-12-31,2020.0,312.0
376,14919,1,5,2,2,2023.0,2025-10-31,2025.0,399.0
